en,pa,translated_helsinki
Take any action that imposes or may impose (in our sole discretion) an unreasonable or disproportionately large load on our infrastructure.,ਕੋਈ ਅਜਿਹੀ ਕਾਰਵਾਈ ਕਰਨਾ ਜੋ ਸਾਡੇ ਬੁਨਿਆਦੀ ਢਾਂਚੇ 'ਤੇ ਇੱਕ ਗੈਰ-ਵਾਜਬ ਜਾਂ ਅਸਪਸ਼ਟ ਤੌਰ 'ਤੇ ਵੱਡਾ ਬੋਝ (ਸਾਡੀ ਮਰਜੀ ਨਾਲ) ਥੋਪ ਸਕਦਾ ਹੈ।,Any action that might cause us to fall into a state-of-the-art or inexplicable state of affairs.
"Use the Site or Reproduce, modify, display, publicly perform, distribute or create derivative works of the Site or the Content","ਸਾਈਟ ਦੀ ਵਰਤੋਂ ਕਰਨਾ ਜਾਂ ਸਾਈਟ ਜਾਂ ਸਮੱਗਰੀ ਦੇ ਵਿਉਤ੍ਪ੍ਨ ਕੰਮਾਂ ਨੂੰ ਦੁਬਾਰਾ ਤਿਆਰ ਕਰਨਾ, ਸੋਧਣਾ, ਪ੍ਰਦਰਸ਼ਿਤ ਕਰਨਾ, ਜਨਤਕ ਤੌਰ 'ਤੇ ਆਯੋਜਿਤ ਕਰਨਾ, ਵੰਡਣਾ ਜਾਂ ਬਣਾਓਣਾ","Redesign, edit, display, set up, distribute or create web sites or content interfaces"
"The Content in an attempt to, or in conjunction with, any device, program or service designed to circumvent any technological measure that effectively controls access to, or the rights in, the Site and/or Content in any way including, without limitation, by manual Decode, decrypt, modify, or reverse engineer certificate or underlying algorithms or automatic device or process, for any purpose","ਕਿਸੇ ਵੀ ਤਕਨੀਕੀ ਉਪਾਅ ਨੂੰ ਰੋਕਣ ਲਈ ਤਿਆਰ ਕੀਤੀ ਗਈ ਕਿਸੇ ਡਿਵਾਈਸ, ਪ੍ਰੋਗਰਾਮ ਜਾਂ ਸੇਵਾ ਦੇ ਨਾਲ, ਸਾਈਟ ਅਤੇ/ਜਾਂ ਸਮਗਰੀ ਤੱਕ ਪਹੁੰਚ, ਜਾਂ ਅਧਿਕਾਰਾਂ ਨੂੰ, ਜਿਸ ਵਿੱਚ ਸੀਮਾ ਤੋਂ ਬਿਨਾਂ, ਮੈਨੂਅਲ ਡੀਕੋਡ, ਡੀਕ੍ਰਿਪਟ, ਸੋਧ, ਜਾਂ ਉਲਟ ਇੰਜੀਨੀਅਰ ਸਰਟੀਫਿਕੇਟ ਜਾਂ ਅੰਤਰੀਵ ਐਲਗੋਰਿਦਮ ਜਾਂ ਸਵੈਚਲਿਤ ਡਿਵਾਈਸ ਜਾਂ ਪ੍ਰਕਿਰਿਆ, ਕਿਸੇ ਵੀ ਉਦੇਸ਼ ਲਈ ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਢੰਗ ਨਾਲ ਨਿਯੰਤਰਿਤ ਕਰਦੀ ਹੈ","Access to any device, program or service that is prepared to block any technical offer, site and/or content, or powers that are subject to manual decoding, decryption, editing, or otherwise engineering certificates or interactive algorithms or automated devices or processes, in an effective manner for any purpose"
"You will not use bot technology to search for registering participants through the Site; for the avoidance of doubt, this specifically prohibits you from using automated script based or automated software on the Site, and prohibits you from circumventing any security measure, access control system, or other technological control or measure on the Site that is used to enforce participation limits or to maintain the integrity of registering participants rules associated with one mobile number","ਤੁਸੀਂ ਭਾਗੀਦਾਰਾਂ ਨੂੰ ਰਜਿਸਟਰ ਕਰਨ ਲਈ ਸਾਈਟ ਦੁਆਰਾ ਖੋਜ ਕਰਨ ਲਈ ਬੋਟ ਤਕਨਾਲੋਜੀ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰੋਗੇ; ਸ਼ੱਕ ਤੋਂ ਬਚਣ ਲਈ, ਇਹ ਵਿਸ਼ੇਸ਼ ਤੌਰ 'ਤੇ ਤੁਹਾਨੂੰ ਸਾਈਟ 'ਤੇ ਸਵੈਚਲਿਤ ਸਕ੍ਰਿਪਟ ਅਧਾਰਤ ਜਾਂ ਸਵੈਚਲਿਤ ਸੌਫਟਵੇਅਰ ਦੀ ਵਰਤੋਂ ਕਰਨ ਤੋਂ ਮਨ੍ਹਾ ਕਰਦਾ ਹੈ, ਅਤੇ ਤੁਹਾਨੂੰ ਸਾਈਟ 'ਤੇ ਕਿਸੇ ਵੀ ਸੁਰੱਖਿਆ ਮਾਪ, ਪ੍ਰਵੇਸ਼ ਨਿਯੰਤਰਣ ਪ੍ਰਣਾਲੀ, ਜਾਂ ਸਾਈਟ 'ਤੇ ਹੋਰ ਤਕਨੀਕੀ ਨਿਯੰਤਰਣ ਜਾਂ ਮਾਪ ਨੂੰ ਰੋਕਣ ਤੋਂ ਮਨ੍ਹਾ ਕਰਦਾ ਹੈ ਜੋ ਭਾਗੀਦਾਰੀ ਨੂੰ ਲਾਗੂ ਕਰਨ ਜਾਂ ਇੱਕ ਮੋਬਾਈਲ ਨੰਬਰ ਨਾਲ ਜੁੜੇ ਭਾਗੀਦਾਰਾਂ ਦੇ ਨਿਯਮਾਂ ਨੂੰ ਰਜਿਸਟਰ ਕਰਨ ਦੀ ਇਕਸਾਰਤਾ ਨੂੰ ਕਾਇਮ ਰੱਖਣ ਲਈ ਵਰਤਿਆ ਜਾਂਦਾ ਹੈ","You will not use boot technology to search for developers to register with this site; to avoid any doubt, this feature prevents you from using automatic scripting support or automatic software on a site, and prevents you from using any secure size, access control module, or other technical settings or sizes that prevent you from applying the hardware or from using a mobile phone number."
VII. INTELLECTUAL PROPERTY RIGHTS,VII. ਬੌਧਿਕ ਸੰਪਤੀ ਦੇ ਹੱਕ,VII. Right of Additional Property
We own the intellectual property rights in the Site and Content. We may change the Content and features of the Site at any time.,ਸਾਡੇ ਕੋਲ ਸਾਈਟ ਅਤੇ ਸਮੱਗਰੀ ਵਿੱਚ ਬੌਧਿਕ ਸੰਪੱਤੀ ਦੇ ਅਧਿਕਾਰ ਹਨ। ਅਸੀਂ ਕਿਸੇ ਵੀ ਸਮੇਂ ਸਾਈਟ ਦੀ ਸਮੱਗਰੀ ਅਤੇ ਵਿਸ਼ੇਸ਼ਤਾਵਾਂ ਨੂੰ ਬਦਲ ਸਕਦੇ ਹਾਂ।,We have additional property rights in the site and content. We can change the content and properties of the site at any time.
"The registered and unregistered trademarks, logos, and service marks displayed on the Site are owned by us or our licensors. You may not use our trademarks, logos, and service marks in any way without our prior written permission.","ਸਾਈਟ 'ਤੇ ਪ੍ਰਦਰਸ਼ਿਤ ਰਜਿਸਟਰਡ ਅਤੇ ਗੈਰ-ਰਜਿਸਟਰਡ ਟ੍ਰੇਡਮਾਰਕ, ਲੋਗੋ, ਅਤੇ ਸਰਵਿਸ ਮਾਰਕ ਸਾਡੀ ਜਾਂ ਸਾਡੇ ਲਾਇਸੈਂਸ ਦੇਣ ਵਾਲਿਆਂ ਦੀ ਮਲਕੀਅਤ ਹਨ। ਤੁਸੀਂ ਸਾਡੀ ਪੂਰਵ ਲਿਖਤੀ ਇਜਾਜ਼ਤ ਤੋਂ ਬਿਨਾਂ ਕਿਸੇ ਵੀ ਤਰੀਕੇ ਨਾਲ ਸਾਡੇ ਟ੍ਰੇਡਮਾਰਕ, ਲੋਗੋ ਅਤੇ ਸੇਵਾ ਚਿੰਨ੍ਹ ਦੀ ਵਰਤੋਂ ਨਹੀਂ ਕਰ ਸਕਦੇ ਹੋ।","The registered and non-registered trademark, logo, and service mark are owned by those who give us or our licenses. You cannot use our trademarks, logos and service rings in any way without our prior written permission."
"Material featured on this website may be reproduced free of charge. However, no part of the Site and no Content may be copied, republished, reproduced, uploaded, posted, displayed publicly, encoded, translated, transmitted or distributed in any way to any other computer, server, Web site or other medium for publication in a derogatory manner or in a misleading context.","ਇਸ ਵੈੱਬਸਾਈਟ 'ਤੇ ਦਿਖਾਈ ਗਈ ਸਮੱਗਰੀ ਨੂੰ ਮੁਫ਼ਤ ਵਿੱਚ ਦੁਬਾਰਾ ਤਿਆਰ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ। ਹਾਲਾਂਕਿ, ਸਾਈਟ ਦਾ ਕੋਈ ਹਿੱਸਾ ਅਤੇ ਕੋਈ ਵੀ ਸਮੱਗਰੀ ਕਿਸੇ ਹੋਰ ਕੰਪਿਊਟਰ, ਸਰਵਰ, ਵੈੱਬ ਸਾਈਟ ਜਾਂ ਪ੍ਰਕਾਸ਼ਨ ਲਈ ਕਿਸੇ ਹੋਰ ਮਾਧਿਅਮ ਵਿੱਚ ਇੱਕ ਅਪਮਾਨਜਨਕ ਤਰੀਕੇ ਨਾਲ ਜਾਂ ਇੱਕ ਗੁੰਮਰਾਹਕੁੰਨ ਸੰਦਰਭ ਵਿੱਚ ਕਾਪੀ, ਪੁਨਰਪ੍ਰਕਾਸ਼ਿਤ, ਪੁਨਰ-ਨਿਰਮਾਣ, ਅੱਪਲੋਡ, ਪੋਸਟ, ਜਨਤਕ ਤੌਰ 'ਤੇ ਆਯੋਜਿਤ, ਏਨਕੋਡ, ਅਨੁਵਾਦ, ਪ੍ਰਸਾਰਿਤ ਜਾਂ ਕਿਸੇ ਵੀ ਤਰ੍ਹਾਂ ਵੰਡੀ ਨਹੀਂ ਜਾ ਸਕਦੀ।","The content displayed on this site can be freely prepared. Although no other computer, server, web site, or publication content is available in any other way than one or more of the following:"
"You may use information available on the Site, provided that you will (1) use such information only for your personal, non-commercial informational purpose and do not copy or post such information on any networked computer or broadcast it in any media, (2) not make any modifications to any such information and any additional representations or warranties relating to such documents and Content.","ਤੁਸੀਂ ਸਾਈਟ 'ਤੇ ਉਪਲਬਧ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਕਰ ਸਕਦੇ ਹੋ, ਬਸ਼ਰਤੇ ਕਿ ਤੁਸੀਂ (1) ਅਜਿਹੀ ਜਾਣਕਾਰੀ ਦੀ ਵਰਤੋਂ ਸਿਰਫ਼ ਆਪਣੇ ਨਿੱਜੀ, ਗੈਰ-ਵਪਾਰਕ ਜਾਣਕਾਰੀ ਦੇ ਉਦੇਸ਼ ਲਈ ਕਰੋਗੇ ਅਤੇ ਅਜਿਹੀ ਜਾਣਕਾਰੀ ਨੂੰ ਕਿਸੇ ਵੀ ਨੈੱਟਵਰਕ ਵਾਲੇ ਕੰਪਿਊਟਰ 'ਤੇ ਕਾਪੀ ਜਾਂ ਪੋਸਟ ਨਹੀਂ ਕਰੋਗੇ ਜਾਂ ਕਿਸੇ ਮੀਡੀਆ ਵਿੱਚ ਪ੍ਰਸਾਰਿਤ ਨਹੀਂ ਕਰੋਗੇ, (2) ਅਜਿਹੀ ਕਿਸੇ ਵੀ ਜਾਣਕਾਰੀ ਅਤੇ ਅਜਿਹੇ ਦਸਤਾਵੇਜ਼ਾਂ ਅਤੇ ਸਮਗਰੀ ਨਾਲ ਸਬੰਧਤ ਕਿਸੇ ਵੀ ਵਾਧੂ ਪ੍ਰਤੀਨਿਧਤਾ ਜਾਂ ਵਾਰੰਟੀਆਂ ਵਿੱਚ ਕੋਈ ਸੋਧ ਨਾ ਕਰੋ।","You can use the information available on this site, provided that (1) you will only make use of this information for your personal, non-commercial information, and will not copy or post such information on any networked computer or media, or (2) do not modify any of these information and any additional features or features related to such information and content."
"Wherever the material is being published or issued to others, the source must be prominently acknowledged. However, the permission to reproduce this material shall not extend to any material which is identified as being copyright of a third party.","ਜਿੱਥੇ ਵੀ ਸਮੱਗਰੀ ਪ੍ਰਕਾਸ਼ਿਤ ਕੀਤੀ ਜਾ ਰਹੀ ਹੈ ਜਾਂ ਦੂਜਿਆਂ ਨੂੰ ਜਾਰੀ ਕੀਤੀ ਜਾ ਰਹੀ ਹੈ, ਸਰੋਤ ਨੂੰ ਪ੍ਰਮੁੱਖਤਾ ਨਾਲ ਸਵੀਕਾਰ ਕੀਤਾ ਜਾਣਾ ਚਾਹੀਦਾ ਹੈ। ਹਾਲਾਂਕਿ, ਇਸ ਸਮੱਗਰੀ ਨੂੰ ਦੁਬਾਰਾ ਤਿਆਰ ਕਰਨ ਦੀ ਇਜਾਜ਼ਤ ਕਿਸੇ ਵੀ ਅਜਿਹੀ ਸਮੱਗਰੀ ਤੱਕ ਨਹੀਂ ਵਧਾਈ ਜਾਵੇਗੀ ਜਿਸਦੀ ਪਛਾਣ ਕਿਸੇ ਤੀਜੀ ਧਿਰ ਦੇ ਕਾਪੀਰਾਈਟ ਵਜੋਂ ਕੀਤੀ ਗਈ ਹੈ।","Where content is being published or sent to others, the source should be accepted with priority. However, no such content is allowed to be redesigned as a third-party copy."
VIII. LIMITATIONS OF MULTI- LINGUAL INTERFACE,VIII. ਬਹੁ-ਭਾਸ਼ਾਈ ਇੰਟਰਫੇਸ ਦੀਆਂ ਸੀਮਾਵਾਂ,VIII. Multilingual Interface Limits
"Translations on the Poshan Tracker Portal & App Chabot are done by third party translators. While the translations are done on a best effort basis, some of the parts may be incorrect. Certain files and other items on the website cannot be translated. In addition, on translation, some applications and/or services may not function as expected, due to language barriers. We are working constantly to rectify any errors, omissions, or ambiguities in the translations provided on this portal.","ਪੋਸ਼ਣ ਟਰੈਕਰ ਪੋਰਟਲ ਅਤੇ ਐਪ ਚੈਬੋਟ 'ਤੇ ਅਨੁਵਾਦ ਤੀਜੀ ਧਿਰ ਦੇ ਅਨੁਵਾਦਕਾਂ ਦੁਆਰਾ ਕੀਤੇ ਜਾਂਦੇ ਹਨ। ਹਾਲਾਂਕਿ ਅਨੁਵਾਦ ਵਧੀਆ ਕੋਸ਼ਿਸ਼ ਦੇ ਆਧਾਰ 'ਤੇ ਕੀਤੇ ਗਏ ਹਨ, ਪਰ ਕੁਝ ਹਿੱਸੇ ਗਲਤ ਹੋ ਸਕਦੇ ਹਨ। ਵੈੱਬਸਾਈਟ 'ਤੇ ਕੁਝ ਫ਼ਾਈਲਾਂ ਅਤੇ ਹੋਰ ਆਈਟਮਾਂ ਦਾ ਅਨੁਵਾਦ ਨਹੀਂ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ। ਇਸ ਤੋਂ ਇਲਾਵਾ, ਅਨੁਵਾਦ 'ਤੇ, ਭਾਸ਼ਾਵੀਂ ਰੁਕਾਵਟਾਂ ਦੇ ਕਾਰਨ, ਕੁਝ ਐਪਲੀਕੇਸ਼ਨਾਂ ਅਤੇ/ਜਾਂ ਸੇਵਾਵਾਂ ਉਮੀਦ ਅਨੁਸਾਰ ਕੰਮ ਨਹੀਂ ਕਰ ਸਕਦੀਆਂ। ਅਸੀਂ ਇਸ ਪੋਰਟਲ 'ਤੇ ਪ੍ਰਦਾਨ ਕੀਤੇ ਅਨੁਵਾਦਾਂ ਵਿੱਚ ਕਿਸੇ ਵੀ ਤਰੁੱਟੀ, ਭੁੱਲ ਜਾਂ ਅਸਪਸ਼ਟਤਾ ਨੂੰ ਸੁਧਾਰਨ ਲਈ ਲਗਾਤਾਰ ਕੰਮ ਕਰ ਰਹੇ ਹਾਂ।","Translations are done by third-time translators in the search tractor Portal and app chebot. Although translations are done on the basis of best efforts, some parts may be wrong. Some files and other items on the web site cannot be translated. In addition, translations, because of language barriers, some applications and/or services are not able to work in accordance with it. We do not want any translations that have been translated into this port to be lost or disabled."
IX. LINKS,IX. ਲਿੰਕ,IX. link
"The Site may contain links to other websites that may not be owned, maintained, or operated by us. The fact that these websites are linked, does not indicate any endorsement of these websites from us, since we do have any control over these websites. We are not responsible for these websites including any content or the privacy practices of these websites. We strongly encourage you to familiarize yourself with the terms of use of these websites. Your use of these websites is at your own risk and peril. It is solely up to you to take necessary precautions to ensure that the links you select or any software you may download is free of viruses, worms, Trojan horses, defects, date bombs, time bombs, and other or other computer programming routines which are of destructive nature","ਸਾਈਟ ਵਿੱਚ ਹੋਰ ਵੈਬਸਾਈਟਾਂ ਦੇ ਲਿੰਕ ਸ਼ਾਮਲ ਹੋ ਸਕਦੇ ਹਨ ਜੋ ਹੋ ਸਕਦਾ ਹੈ ਸਾਡੇ ਦੁਆਰਾ ਮਾਲਕੀ, ਰੱਖ-ਰਖਾਅ ਜਾਂ ਸੰਚਾਲਿਤ ਨਾ ਹੋਣ। ਇਹ ਤੱਥ ਕਿ ਇਹ ਵੈੱਬਸਾਈਟਾਂ ਲਿੰਕ ਕੀਤੀਆਂ ਗਈਆਂ ਹਨ, ਸਾਡੇ ਵੱਲੋਂ ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ ਦਾ ਕੋਈ ਸਮਰਥਨ ਨਹੀਂ ਦਰਸਾਉਂਦੀ, ਕਿਉਂਕਿ ਸਾਡਾ ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ 'ਤੇ ਕੋਈ ਕੰਟਰੋਲ ਨਹੀਂ ਹੈ। ਅਸੀਂ ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ ਲਈ, ਕਿਸੇ ਵੀ ਸਮੱਗਰੀ ਜਾਂ ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ ਦੇ ਗੋਪਨੀਅਤਾ ਸ਼ਰਤਾਂ ਸਮੇਤ ਜ਼ਿੰਮੇਵਾਰ ਨਹੀਂ ਹਾਂ। ਅਸੀਂ ਤੁਹਾਨੂੰ ਇਨ੍ਹਾਂ ਵੈੱਬਸਾਈਟਾਂ ਦੀ ਵਰਤੋਂ ਦੀਆਂ ਸ਼ਰਤਾਂ ਤੋਂ ਜਾਣੂ ਕਰਵਾਉਣ ਲਈ ਦ੍ਰਿੜਤਾ ਨਾਲ ਉਤਸ਼ਾਹਿਤ ਕਰਦੇ ਹਾਂ। ਇਹਨਾਂ ਵੈੱਬਸਾਈਟਾਂ ਦੀ ਤੁਹਾਡੀ ਵਰਤੋਂ ਤੁਹਾਡੇ ਆਪਣੇ ਜੋਖਮ ਅਤੇ ਖ਼ਤਰੇ 'ਤੇ ਹੈ। ਇਹ ਯਕੀਨੀ ਬਣਾਉਣ ਲਈ ਜ਼ਰੂਰੀ ਸਾਵਧਾਨੀ ਵਰਤਣਾ ਸਿਰਫ਼ ਤੁਹਾਡੇ 'ਤੇ ਨਿਰਭਰ ਕਰਦਾ ਹੈ ਕਿ ਤੁਸੀਂ ਜੋ ਲਿੰਕ ਚੁਣਦੇ ਹੋ ਜਾਂ ਕੋਈ ਵੀ ਸੌਫਟਵੇਅਰ ਜੋ ਤੁਸੀਂ ਡਾਊਨਲੋਡ ਕਰਦੇ ਹੋ ਉਹ ਵਾਇਰਸ, ਕੀੜੇ, ਟਰੋਜਨ ਹਾਰਸ, ਨੁਕਸ, ਡੇਟ ਬੰਬ, ਟਾਈਮ ਬੰਬ, ਅਤੇ ਹੋਰ ਜਾਂ ਹੋਰ ਕੰਪਿਊਟਰ ਪ੍ਰੋਗਰਾਮਿੰਗ ਰੁਟੀਨ ਜੋ ਨਾਸ਼ਕ ਸੁਭਾਹ ਦੇ ਹਨ, ਤੋਂ ਮੁਕਤ ਹੈ।","The site may include links to other websites that may be owned, maintained, or operated by us. This is because these websites are linked, and we do not have any support for these sites, since we have no control over these websites. We have no responsibility for these websites. There are no rights, no rights, no rights, no rights. We are not responsible for any of these websites. We are responsible for the use of these websites, but we are not responsible for the use of these websites, since we have no support for any of these websites, since we have no control over our websites. We have no control over these websites, since we have no control over these websites. We have no control over these websites; we have no rights over these websites; we have no control over these websites; we have no rights; we have no rights; we have no rights; we have no rights; we have no rights; we have no rights; we have no rights; we have no rights; we have no rights; we have no rights; we have no rights; we have no rights; we have no rights; we have no rights; we have rights; we have no rights; we have rights; we have rights, no rights; we have rights; we have rights; we have rights; we have rights; we have rights; we have no rights; we have rights, no rights; we have no rights; we have no rights; we have no rights; we have no rights; we have no rights; we have rights, no rights; we have no rights, no rights, no rights, no rights, no rights, no rights, no rights, no rights, no rights, no rights; we have rights, no rights, no rights, no rights, no rights, no rights, no rights, no rights, no rights, no rights, no rights, no rights, we have no rights; we have rights, we have rights, no rights, no rights, no rights, no rights, no rights, no rights, no rights, we have no rights."
X. ACCESS FROM OUTSIDE INDIA,X. ਭਾਰਤ ਦੇ ਬਾਹਰੋਂ ਪ੍ਰਵੇਸ਼,X. Out of range
"The Site is directed to the people residing in India. We do not represent that Content available on or through the Site is appropriate or available in other locations. We may limit the availability of the Site or any service or product described on the Site to any person or geographic area at any time. If you choose to access the Site from outside India, you do so at your own risk.","ਸਾਈਟ ਨੂੰ ਭਾਰਤ ਵਿੱਚ ਰਹਿਣ ਵਾਲੇ ਲੋਕਾਂ ਲਈ ਨਿਰਦੇਸ਼ਿਤ ਕੀਤਾ ਗਿਆ ਹੈ। ਅਸੀਂ ਇਸ ਗੱਲ ਦੀ ਨੁਮਾਇੰਦਗੀ ਨਹੀਂ ਕਰਦੇ ਹਾਂ ਕਿ ਸਾਈਟ 'ਤੇ ਜਾਂ ਇਸ ਰਾਹੀਂ ਉਪਲਬਧ ਸਮੱਗਰੀ ਹੋਰ ਸਥਾਨਾਂ 'ਤੇ ਉਚਿਤ ਜਾਂ ਉਪਲਬਧ ਹੈ। ਅਸੀਂ ਕਿਸੇ ਵੀ ਸਮੇਂ ਕਿਸੇ ਵੀ ਵਿਅਕਤੀ ਜਾਂ ਭੂਗੋਲਿਕ ਖੇਤਰ ਲਈ ਸਾਈਟ ਜਾਂ ਸਾਈਟ 'ਤੇ ਦੱਸੇ ਗਏ ਕਿਸੇ ਸੇਵਾ ਜਾਂ ਉਤਪਾਦੀ ਉਪਲਬਧਤਾ ਨੂੰ ਸੀਮਤ ਕਰ ਸਕਦੇ ਹਾਂ। ਜੇਕਰ ਤੁਸੀਂ ਭਾਰਤ ਤੋਂ ਬਾਹਰ ਸਾਈਟ ਨੂੰ ਐਕਸੈਸ ਕਰਨ ਦੀ ਚੋਣ ਕਰੋਗੇ, ਤਾਂ ਤੁਸੀਂ ਆਪਣੇ ਜੋਖਮ 'ਤੇ ਅਜਿਹਾ ਕਰਦੇ ਹੋ।","The site has been directed to people living in India. We do not assume that the site or other content available through it is suitable or available. We can at any time limit any service or product availability specified on any site or site. If you choose to access a site outside India, you may do so on your own."
XI. VIOLATION OF THESE TERMS,XI. ਇਹਨਾਂ ਨਿਯਮਾਂ ਦੀ ਉਲੰਘਣਾ,XI. Breaking these rules
"We may investigate any violation of these Terms, including unauthorized use of the Site. We may provide law enforcement with information you provide to us related to your transactions to assist in any investigation or prosecution of you. We may take legal action that we feel is appropriate. If we determine that you have violated these Terms or the law, or for any other reason or for no reason, we may block your account and will prevent you from accessing the Site at any time without notice to you.","ਅਸੀਂ ਸਾਈਟ ਦੀ ਅਣਅਧਿਕਾਰਤ ਵਰਤੋਂ ਸਮੇਤ ਇਹਨਾਂ ਨਿਯਮਾਂ ਦੀ ਕਿਸੇ ਵੀ ਉਲੰਘਣਾ ਦੀ ਜਾਂਚ ਕਰ ਸਕਦੇ ਹਾਂ। ਅਸੀਂ ਤੁਹਾਡੀ ਕਿਸੇ ਵੀ ਜਾਂਚ ਜਾਂ ਮੁਕੱਦਮੇ ਵਿੱਚ ਸਹਾਇਤਾ ਕਰਨ ਲਈ ਤੁਹਾਡੇ ਲੈਣ-ਦੇਣ ਨਾਲ ਸਬੰਧਤ ਤੁਹਾਡੇ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਕੀਤੀ ਜਾਣਕਾਰੀ ਕਾਨੂੰਨ ਦੀ ਪਾਲਣਾ ਲਈ ਦੇ ਸਕਦੇ ਹਾਂ। ਜੇ ਸਾਨੂੰ ਉਚਿਤ ਲੱਗਦਾ ਹੈ ਤਾਂ ਅਸੀਂ ਕਾਨੂੰਨੀ ਕਾਰਵਾਈ ਕਰ ਸਕਦੇ ਹਾਂ। ਜੇ ਅਸੀਂ ਇਹ ਨਿਰਧਾਰਤ ਕਰਦੇ ਹਾਂ ਕਿ ਤੁਸੀਂ ਇਹਨਾਂ ਨਿਯਮਾਂ ਜਾਂ ਕਾਨੂੰਨ ਦੀ ਉਲੰਘਣਾ ਕੀਤੀ ਹੈ, ਜਾਂ ਕਿਸੇ ਹੋਰ ਕਾਰਨ ਜਾਂ ਬਿਨਾਂ ਕਿਸੇ ਕਾਰਨ, ਅਸੀਂ ਤੁਹਾਡੇ ਖਾਤੇ ਨੂੰ ਬੰਦ ਕਰ ਸਕਦੇ ਹਾਂ ਅਤੇ ਤੁਹਾਨੂੰ ਬਿਨਾਂ ਕਿਸੇ ਨੋਟਿਸ ਦੇ ਕਿਸੇ ਵੀ ਸਮੇਂ ਸਾਈਟ ਨੂੰ ਐਕਸੈਸ ਕਰਨ ਤੋਂ ਰੋਕ ਸਕਦੇ ਹਾਂ।","We can check any violation of any of these rules along with the unauthorized use of the site. We can give you the information provided by you in order to help you in any trial or trial. If we are right, we can act on the law. If we determine that you have broken these laws or laws, or for no other reason or for no reason, we can close your account and stop you without any notice."
