en,kn
"Nothing set out herein shall apply to the anonymized, aggregated datasets generated by the personal data of registered users of Poshan Tracker or any reports, heat maps or other visualization created using such datasets.","ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್‌ನ ನೋಂದಾಯಿತ ಬಳಕೆದಾರರ ವೈಯಕ್ತಿಕ ಡೇಟಾಗೆ ಅಥವಾ ಅಂತಹ ಡೇಟಾಸೆಟ್‌ಗಳನ್ನು ಬಳಸಿಕೊಂಡು ರಚಿಸಲಾದ ಯಾವುದೇ ವರದಿಗಳು, ಹೀಟ್ ಮ್ಯಾಪ್‌ಗಳು ಅಥವಾ ಇತರ ದೃಶ್ಯೀಕರಣಗಳಿಂದ ರಚಿಸಲಾದ ಅನಾಮಧೇಯ, ಒಟ್ಟುಗೂಡಿದ ಡೇಟಾಸೆಟ್‌ಗಳಿಗೆ ಇಲ್ಲಿ ಸೂಚಿಸಲಾದ ಯಾವುದೂ ಅನ್ವಯಿಸುವುದಿಲ್ಲ."
5. RIGHTS,5. ಹಕ್ಕುಗಳು
"As a registered user, you have the right to access your profile at any time. Although, the changes can only be done as prescribed by the Poshan Tracker system from time to time.","ನೀವು ನೊಂದಾಯಿತ ಬಳಕೆದಾರರು ಆಗಿರುವುದರಿಂದ, ನೀವು ನಿಮ್ಮ ಪ್ರೊಫೈಲ್ ಅನ್ನು ಯಾವ ಸಮಯದಲ್ಲಿ ಆದರೂ ಬಳಸುವ ಹಕ್ಕು ಇದೆ. ಆದಾಗ್ಯೂ, ಕಾಲಕಾಲಕ್ಕೆ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಸಿಸ್ಟಮ್ ಸೂಚಿಸಿದ ಬದಲಾವಣೆಗಳನ್ನು ಮಾತ್ರ ಮಾಡಬಹುದು."
You cannot manage the communications that you receive from us or how you receive them.,ನೀವು ನಮ್ಮಿಂದ ಪಡೆಯುವ ಸಂವಹನವನ್ನು ಅಥವಾ ಅವುಗಳನ್ನು ಪಡೆಯುವ ರೀತಿಯನ್ನು ನಿರ್ವಹಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ.
6. DATA SECURITY,6. ಡೇಟಾದ ಸುರಕ್ಷತೆ
"Poshan Tracker Platform has reasonable security measures and safeguards in place to protect your privacy and personal information from loss, misuse, unauthorized access, disclosure, destruction, and alteration of the information in compliance with applicable laws. Further, whenever you change or access your account on the System or any information relating to it, we offer the use of a secure server. It is further clarified that you have, so long as you access and/or use the System (directly or indirectly), the obligation to ensure that you, shall at all times, take adequate physical, managerial, and technical safeguards, at your end, to preserve the integrity and security of your data which shall include and not be limited to your personal information.","ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಪ್ಲಾಟ್‌ಫಾರ್ಮ್ ಅನ್ವಯವಾಗುವ ಕಾನೂನುಗಳ ಅನುಸರಣೆಯಲ್ಲಿ ನಿಮ್ಮ ಗೌಪ್ಯತೆ ಮತ್ತು ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ನಷ್ಟ, ದುರುಪಯೋಗ, ಅನಧಿಕೃತ ಪ್ರವೇಶ, ಬಹಿರಂಗಪಡಿಸುವಿಕೆ, ವಿನಾಶ ಮತ್ತು ಮಾಹಿತಿಯ ಬದಲಾವಣೆಯಿಂದ ರಕ್ಷಿಸಲು ಸೂಕ್ತವಾದ ಸುರಕ್ಷತೆಗಳು ಮತ್ತು ರಕ್ಷಣಾತ್ಮಕ ಕ್ರಮಗಳನ್ನು ಹೊಂದಿದೆ. ಹೆಚ್ಚುವರಿಯಾಗಿ, ನೀವು ಸಿಸ್ಟಮ್‌ನಲ್ಲಿ ನಿಮ್ಮ ಖಾತೆಯನ್ನು ಬದಲಾಯಿಸಿದಾಗ ಅಥವಾ ಪ್ರವೇಶಿಸಿದಾಗ ಅಥವಾ ಅದಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಯಾವುದೇ ಮಾಹಿತಿಯನ್ನು ಬದಲಾಯಿಸಿದಾಗ ಅಥವಾ ಪ್ರವೇಶಿಸಿದಾಗ, ನಾವು ಸುರಕ್ಷಿತ ಸರ್ವರ್‌ನ ಬಳಕೆಯನ್ನು ನೀಡುತ್ತೇವೆ. ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಗೆ ಸೀಮಿತವಾಗಿರದೆ ಇನ್ನಷ್ಟು ಮಾಹಿತಿ ಒಳಗೊಂಡಿರುವ ನಿಮ್ಮ ಡೇಟಾದ ಸಮಗ್ರತೆ ಮತ್ತು ಸುರಕ್ಷತೆಯನ್ನು ಕಾಪಾಡಿಕೊಳ್ಳಲು, ನೀವು ಸಿಸ್ಟಮ್ ಅನ್ನು ಪ್ರವೇಶಿಸುವ ಮತ್ತು/ಅಥವಾ ಬಳಸುವವರೆಗೆ (ನೇರವಾಗಿ ಅಥವಾ ಪರೋಕ್ಷವಾಗಿ), ಎಲ್ಲಾ ಸಮಯದಲ್ಲೂ ನಿಮ್ಮ ಮಟ್ಟದಲ್ಲಿ ಬೇಕಾದ ಭೌತಿಕ, ವ್ಯವಸ್ಥಾಪಕ ಮತ್ತು ತಾಂತ್ರಿಕ ಭದ್ರತಾ ಕ್ರಮಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತೀರಿ ಎಂದು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಲು ನೀವು ಬಾಧ್ಯತೆಯನ್ನು ಹೊಂದಿರುತ್ತೀರಿ ಎಂದು ಮತ್ತಷ್ಟು ಸ್ಪಷ್ಟಪಡಿಸಲಾಗಿದೆ."
7. CHANGES TO PRIVACY POLICY,7. ಗೌಪ್ಯತೆ ನೀತಿಗೆ ಬದಲಾವಣೆಗಳು
"Poshan Tracker reserve the unconditional right to change, modify, add, or remove any part of this Privacy Policy at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You should review this Privacy Policy regularly for changes.","ನಿಮಗೆ ನಿರ್ದಿಷ್ಟವಾಗಿ ತಿಳಿಸದೆಯೇ ಯಾವುದೇ ಸಮಯದಲ್ಲಿ ಗೌಪ್ಯತೆ ನೀತಿಯ ಯಾವುದೇ ಭಾಗವನ್ನು ಬದಲಾಯಿಸಲು, ಮಾರ್ಪಡಿಸಲು, ಸೇರಿಸಲು ಅಥವಾ ತೆಗೆದುಹಾಕಲು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಬೇಷರತ್ತಾದ ಹಕ್ಕನ್ನು ಕಾಯ್ದಿರಿಸುತ್ತದೆ. ಯಾವುದೇ ಬದಲಾವಣೆಗಳು ಅಥವಾ ನವೀಕರಣಗಳು ತಕ್ಷಣವೇ ಜಾರಿಗೆ ಬರುತ್ತವೆ. ನೀವು ಗೌಪ್ಯತೆ ನೀತಿಯನ್ನು ಬದಲಾವಣೆಗಾಗಿ ನಿಯಮಿತವಾಗಿ ಪರಿಶೀಲಿಸಬೇಕು."
"We will use commercially reasonable efforts to generally notify all users of any material changes to this Privacy Policy, such as through a notice on the System. However, as a user of the System, you should regularly check the Privacy Policy for any changes. We will also update the “Last Updated” date at the top of this Privacy Policy, which reflects the effective date of this Privacy Policy. Your continued access or use of the System after the date of the new Privacy Policy constitutes your acceptance of the new Privacy Policy. If you do not agree to the new Privacy Policy, you must stop accessing and/or using the System. You hereby acknowledge that any collection, storage, processing or other use of your information shall be governed by the Privacy Policy as applicable at the time of such collection, storage, processing or other use.","ಈ ಗೌಪ್ಯತೆ ನೀತಿಯಲ್ಲಿ ಉಂಟಾಗುವ ಯಾವುದೇ ಬದಲಾವಣೆಗಳನ್ನು ಎಲ್ಲಾ ಬಳಕೆದಾರರಿಗೆ ಸೂಚಿಸಲು ನಾವು ವಾಣಿಜ್ಯಿಕವಾಗಿ ಸಮಂಜಸವಾದ ಪ್ರಯತ್ನಗಳನ್ನು ಬಳಸುತ್ತೇವೆ, ಉದಾಹರಣೆಗೆ ಸಿಸ್ಟಂನಲ್ಲಿ ಮೂಲಕ ಸೂಚನೆಯನ್ನು ಹೊರಡಿಸುವ ಮೂಲಕ. ಆದರೂ, ಗೌಪ್ಯತಾ ನೀತಿಯು ಬದಲಾವಣೆಗಾಗಿ ಸಿಸ್ಟಮ್ ನ ಬಳಕೆದಾರರು ಆಗಿರುವುದರಿಂದ ನೀವು ನಿಯಮಿತವಾಗಿ ಪರಿಶೀಲಿಸಬೇಕು. ನಾವು ಗೌಪ್ಯತಾ ನೀತಿಯ ಮೇಲ್ಭಾಗದಲ್ಲಿ "" ಕೊನೆಯದಾಗಿ ನವೀಕರಿಸಿದ"" ದಿನಾಂಕವನ್ನು ನವೀಕರಿಸುತ್ತೇವೆ ಹಾಗೂ ಇದು ಈ ಗೌಪ್ಯತಾ ನೀತಿಯ ಪರಿಣಾಮಕಾರಿ ದಿನಾಂಕವನ್ನು ಸೂಚಿಸುತ್ತದೆ. ಹೊಸ ಗೌಪ್ಯತೆ ನೀತಿಯ ದಿನಾಂಕದ ನಂತರ ನಿಮ್ಮ ಮುಂದುವರಿದ ಪ್ರವೇಶ ಅಥವಾ ಸಿಸ್ಟಂನ ಬಳಕೆಯು ಹೊಸ ಗೌಪ್ಯತೆ ನೀತಿಗೆ ನಿಮ್ಮ ಒಪ್ಪಿಗೆಯನ್ನು ಸೂಚಿಸುತ್ತದೆ. ನೀವು ಹೊಸ ಗೌಪ್ಯತಾ ನೀತಿಯನ್ನು ಒಪ್ಪದ ಸಂದರ್ಭದಲ್ಲಿ, ನೀವು ಸಿಸ್ಟಮ್ ಅನ್ನು ಪ್ರವೇಶಿಸುವುದು ಮತ್ತು/ಅಥವಾ ಬಳಸುವುದನ್ನು ನಿಲ್ಲಿಸಬೇಕು. ನಿಮ್ಮ ಮಾಹಿತಿಯ ಯಾವುದೇ ಪಡೆಯುವಿಕೆ, ಸಂಗ್ರಹಣೆ, ಸಂಸ್ಕರಣೆ ಅಥವಾ ಇತರ ಬಳಕೆಯನ್ನು ಅಂತಹ ಪಡೆಯುವಿಕೆ, ಸಂಗ್ರಹಣೆ, ಸಂಸ್ಕರಣೆ ಅಥವಾ ಇತರ ಬಳಕೆಯ ಸಮಯದಲ್ಲಿ ಜಾರಿಯಲ್ಲಿದ್ದ ಗೌಪ್ಯತೆ ನೀತಿಯಿಂದ ನಿಯಂತ್ರಿಸಲಾಗುತ್ತದೆ ಎಂದು ನೀವು ಈ ಮೂಲಕ ಅಂಗೀಕರಿಸುತ್ತೀರಿ."
Careers At Poshan Tracker,ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್‌ನಲ್ಲಿ ವೃತ್ತಿಗಳು
We believe in building doers. Poshan Tracker is a project of Ministry of Women and Child Development. Digital India Corporation is the technical partner of MoWCD. Poshan Tracker focuses on eradication of malnutrition from India. It serves as a mechanism to monitor and improvise on the service delivery under Poshan Abhiyaan.,ಸಾಧಿಸುವವರನ್ನು ನಾವು ನಂಬುತ್ತೇವೆ. ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಸಚಿವಾಲಯದ ಒಂದು ಯೋಜನೆಯಾಗಿದೆ. ಡಿಜಿಟಲ್ ಇಂಡಿಯಾ ಕಾರ್ಪೊರೇಷನ್ MoWCD ಯ ತಾಂತ್ರಿಕ ಪಾಲುದಾರ. ಭಾರತದಿಂದ ಅಪೌಷ್ಟಿಕತೆಯ ನಿರ್ಮೂಲನೆ ಬಗ್ಗೆ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಗಮನಹರಿಸುತ್ತದೆ. ಪೋಶನ್ ಅಭಿಯಾನದ ಅಡಿಯಲ್ಲಿ ಸೇವೆಯ ನೀಡುವ ಬಗ್ಗೆ ಮೇಲ್ವಿಚಾರಣೆ ಮಾಡಲು ಮತ್ತು ಸುಧಾರಿಸಲು ಇದು ಕಾರ್ಯವಿಧಾನವಾಗಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ.
Job openings,ಉದ್ಯೋಗಾವಕಾಶಗಳು
Video Conference,ವೀಡಿಯೊ ಸಮ್ಮೇಳನ
Monday to Friday,ಸೋಮವಾರ ದಿಂದ ಶುಕ್ರವಾರದ ವರೆಗೆ
 | , | 
Book VC,ಪುಸ್ತಕ ವಿಸಿ
Get In Touch,ಸಂಪರ್ಕದಲ್ಲಿರಲು
"Ministry of Women and Child Development, Government of India, Shastri Bhawan, New Delhi","ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ ಸಚಿವಾಲಯ, ಭಾರತ ಸರ್ಕಾರ, ಶಾಸ್ತ್ರಿ ಭವನ, ನವದೆಹಲಿ"
Privacy Policy,ವೃತ್ತಿಗಳು
