en,ml
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,support-poshantrackr@gov.in ൽ ഇമെയിലുകൾ അയച്ചുകൊണ്ട് പോഷൻ ട്രാക്കർ ടീമിനെ ബന്ധപ്പെടാം. ഹാൻഡ്‌ഹോൾഡിംഗിനും പിന്തുണയ്‌ക്കും ഞങ്ങൾ ഓരോ ദിവസവും ഉച്ചകഴിഞ്ഞ് 4:15 മുതൽ 5:15 വരെ വീഡിയോ കോൺഫറൻസിലൂടെ ലഭ്യമാണ്.
Can a beneficiary register directly using application.,ഒരു ഗുണഭോക്താവിന് അപേക്ഷ ഉപയോഗിച്ച് നേരിട്ട് രജിസ്റ്റർ ചെയ്യാം.
Currently a beneficiary can register by the help of an AWW,നിലവിൽ ഒരു ഗുണഭോക്താവിന് AWW-ന്റെ സഹായത്തോടെ രജിസ്റ്റർ ചെയ്യാം
Who is a beneficiary?,ആരാണ് ഒരു ഗുണഭോക്താവ്?
There are 6 categories for beneficiaries,ഗുണഭോക്താക്കൾക്ക് 6 വിഭാഗങ്ങളുണ്ട്
Pregnant Women,ഗർഭിണികൾ
Lactating Mother,മുലയൂട്ടുന്ന അമ്മ
Children from 0 to 6 months,0 മുതൽ 6 മാസം വരെയുള്ള കുട്ടികൾ
Children from 6 months to 3 years,6 മാസം മുതൽ 3 വർഷം വരെയുള്ള കുട്ടികൾ
Children from 3 years to 6 years,3 വയസ്സ് മുതൽ 6 വയസ്സ് വരെയുള്ള കുട്ടികൾ
Adolescent girls,കൗമാരക്കാരായ പെൺകുട്ടികൾ
Can a beneficiary change his/her AWC?,ഒരു ഗുണഭോക്താവിന് അവന്റെ/അവളുടെ AWC മാറ്റാൻ കഴിയുമോ?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW-ന് അവരുടെ ആധാർ നമ്പർ അടിസ്ഥാനമാക്കി ഒരു AWC-യിൽ നിന്ന് മറ്റൊരു AWC-ലേക്ക് ഒരു ഗുണഭോക്താവിനെ മൈഗ്രേറ്റ് ചെയ്യാൻ 'മൈഗ്രേറ്റ് ബെനിഫിഷ്യറി' ഓപ്ഷൻ ഉപയോഗിക്കാം.
What is the eligibility of a beneficiary?,ഒരു ഗുണഭോക്താവിന്റെ യോഗ്യത എന്താണ്?
A beneficiary is eligible for THR for at least 21 days in a month.,ഒരു ഗുണഭോക്താവിന് ഒരു മാസത്തിൽ കുറഞ്ഞത് 21 ദിവസത്തേക്ക് THR-ന് അർഹതയുണ്ട്.
Who is eligible for Take Home Ration?,ടേക്ക് ഹോം റേഷൻ ലഭിക്കാൻ അർഹതയുള്ളത് ആരാണ്?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ഗർഭിണികൾ, മുലയൂട്ടുന്ന അമ്മമാർ, 6 മാസം മുതൽ 3 വയസ്സ് വരെയുള്ള കുട്ടികൾ, കൗമാരക്കാരായ പെൺകുട്ടികൾ."
Where can I enquire about take home ration?,റേഷൻ വീട്ടിലേക്ക് കൊണ്ടുപോകുന്നതിനെക്കുറിച്ച് എനിക്ക് എവിടെ അന്വേഷിക്കാനാകും?
Please contact your respective Anganwadi worker.,ദയവായി നിങ്ങളുടെ അംഗൻവാടി വർക്കറുമായി ബന്ധപ്പെടുക.
Who is eligible for additional supplementary food.,അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് അർഹതയുള്ളവർ.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുന്ന കുട്ടികൾക്ക് അധിക ഭക്ഷണ സപ്ലിമെന്റുകൾക്ക് അർഹതയുണ്ട്.
What is the eligibility of a beneficiary?,ഒരു ഗുണഭോക്താവിന്റെ യോഗ്യത എന്താണ്?
A beneficiary is eligible for HCM for at least 21 days in a month.,ഒരു ഗുണഭോക്താവിന് ഒരു മാസത്തിൽ കുറഞ്ഞത് 21 ദിവസത്തേക്ക് HCM-ന് അർഹതയുണ്ട്.
Who is eligible for Hot Cooked Meal?,ചൂട് പാകം ചെയ്ത ഭക്ഷണത്തിന് അർഹതയുള്ളത് ആരാണ്?
Children in the age group of 3 years to 6 years,3 വയസ്സ് മുതൽ 6 വയസ്സ് വിഭാഗം കുട്ടികളുടെ വിഭാഗം
Where can I enquire about Hot Cooked Meal?,ചൂട് പാകം ചെയ്ത ഭക്ഷണത്തെക്കുറിച്ച് എനിക്ക് എവിടെ അന്വേഷിക്കാനാകും?
Please contact your respective Anganwadi Centre.,ദയവായി നിങ്ങളുടെ അങ്കണവാടി കേന്ദ്രവുമായി ബന്ധപ്പെടുക.
Who is eligible for additional supplementary food?,അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് ആർക്കാണ് അർഹത?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുന്ന കുട്ടികൾക്ക് അധിക ഭക്ഷണ സപ്ലിമെന്റുകൾക്ക് അർഹതയുണ്ട്.
Support,പിന്തുണ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,മൊബൈൽ ആപ്പ് ഡൗൺലോഡ് ചെയ്യുക
Powered By,Powered By
About,കുറിച്
Resources,വിഭവങ്ങൾ
Dashboard,ഡാഷ്ബോർഡ്
Helpdesk,ഹെൽപ്പ് ഡെസ്ക്
FAQ,പതിവുചോദ്യങ്ങൾ
Poshan Calculator,പോഷൻ കാൽക്കുലേറ്റർ
Terms of Service,സേവന നിബന്ധനകൾ
Privacy Policy,സ്വകാര്യതാനയം
Careers,തൊഴിലവസരങ്ങൾ
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),ABHA (ഹെൽത്ത് ഐഡി)
Language,ഭാഷ

About,കുറിച്
Resources,വിഭവങ്ങൾ
Resources,വിഭവങ്ങൾ
Vaccination Schedule,വാക്സിനേഷൻ ഷെഡ്യൂൾ
Dashboard,ഡാഷ്ബോർഡ്
Dashboard,ഡാഷ്ബോർഡ്
Mission Utkarsh,Mission Utkarsh
Helpdesk,ഹെൽപ്പ് ഡെസ്ക്
Beneficiary Redressal,ഗുണഭോക്താക്കളുടെ പരിഹാരം
State Helpdesk,സംസ്ഥാന സഹായകേന്ദ്രം
FAQ,പതിവുചോദ്യങ്ങൾ
Poshan Calculator,പോഷൻ കാൽക്കുലേറ്റർ
Login,ലോഗിൻ
Poshan Calculator,പോഷൻ കാൽക്കുലേറ്റർ
Poshan Calculator is designed to measure growth of the child based on standards defined by World Health Organization (WHO).,ലോകാരോഗ്യ സംഘടന (ഡബ്ല്യുഎച്ച്ഒ) നിർവചിച്ചിരിക്കുന്ന മാനദണ്ഡങ്ങളെ അടിസ്ഥാനമാക്കി കുട്ടിയുടെ വളർച്ച അളക്കുന്നതിനാണ് പോഷൻ കാൽക്കുലേറ്റർ രൂപകൽപ്പന ചെയ്തിരിക്കുന്നത്.
How to use Poshan Calculator?,പോഷൻ കാൽക്കുലേറ്റർ എങ്ങനെ ഉപയോഗിക്കാം?
Select Gender,ലിംഗഭേദം തിരഞ്ഞെടുക്കുക
Enter Date of Birth,ജനനത്തീയതി നൽകുക
Enter Height in centimeter,സെന്റിമീറ്ററിൽ ഉയരം നൽകുക
Enter Weight in kilogram,ഭാരം കിലോഗ്രാമിൽ രേഖപ്പെടുത്തുക
Click on Show Results,ഫലങ്ങൾ കാണിക്കുക എന്നതിൽ ക്ലിക്ക് ചെയ്യുക
Gender ,ലിംഗഭേദം 
*,ആൺകുട്ടി
Boy,പെൺകുട്ടി
Girl,ജനനതീയതി 
Date of Birth ,*
Height (CM) ,ഉയരം (സെന്‍റിമീറ്റര്‍) 
*,*ഉയരം 38 നും 150 നും ഇടയില്‍ ആയിരിക്കണം
*Height should be between 38 to 150,സെമി
CM,ഭാരം (സെന്‍റിമീറ്റര്‍) 
Weight (KG) ,*
*Weight should be between 0.90 to 58,*ഭാരം 0.90 ത്തിനും 58 നും ഇടയില്‍ ആയിരിക്കണം
KG,കെജി
Show Results,ഫലങ്ങള്‍ കാണിക്കുക
What is Poshan Calculator,എന്താണ് പോഷൻ കാൽക്കുലേറ്റർ
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,ലോകാരോഗ്യ സംഘടനയുടെ (ഡബ്ല്യുഎച്ച്ഒ) മാനദണ്ഡങ്ങൾ അനുസരിച്ച് കുട്ടിയുടെ വിവിധ ആരോഗ്യസ്ഥിതികൾ തിരിച്ചറിയാൻ പോഷൻ കാൽക്കുലേറ്റർ സഹായിക്കുന്നു.
WHO standards are :,ലോകാരോഗ്യ സംഘടനയുടെ മാനദണ്ഡങ്ങൾ :
Stunting ( Height for Age)- ,മുരടിപ്പ് (പ്രായത്തിനനുസരിച്ച് ഉയരം)- 
0 months to 6 years,0 മാസം മുതൽ 6 വർഷം വരെ
Severely Stunted,കഠിനമായ വളര്‍ച്ച മുരടിപ്പ്
Moderately stunted,മിതമായ വളർച്ച മുരടിച്ചിരിക്കുന്നു
Normal,സാധാരണം
Underweight (Weight for Age)- ,ഭാരക്കുറവ് (പ്രായത്തിനനുസരിച്ചുള്ള ഭാരം)- 
0 months to 6 years,0 മാസം മുതൽ 6 വർഷം വരെ
Severely Underweight,കഠിനമായ ഭാരക്കുറവ്
Moderately Underweight,മിതമായി ഭാരക്കുറവ്
Normal,സാധാരണം
Wasting (Weight for Height)- ,പാഴാക്കൽ (ഉയരത്തിന് ഭാരം)- 
0 months to 5 years,0 മാസം മുതൽ 5 വർഷം വരെ
Severely Wasted (SAM),ഗുരുതരമായി പാഴായത് (SAM)
Moderately Wasted (MAM),മിതമായ രീതിയിൽ പാഴായത് (MAM)
Normal,സാധാരണം
Overweight,അമിതഭാരം
Obese,പൊണ്ണത്തടി
Above standards are defined as per given above mentioned age brackets,മുകളിൽ പറഞ്ഞിരിക്കുന്ന പ്രായപരിധി അനുസരിച്ച് മുകളിലുള്ള മാനദണ്ഡങ്ങൾ നിർവചിച്ചിരിക്കുന്നു
About Reference tables,റഫറൻസ് പട്ടികകളെക്കുറിച്ച്
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,ലോകമെമ്പാടുമുള്ള ശിശുക്കളുടെയും കൊച്ചുകുട്ടികളുടെയും വളർച്ചയും വികാസവും വിലയിരുത്തുന്നതിനായി പുതിയ വളർച്ചാ വളവുകൾ സൃഷ്ടിക്കുന്നതിനായി 1997 നും 2003 നും ഇടയിൽ WHO മൾട്ടിസെന്റർ ഗ്രോത്ത് റഫറൻസ് സ്റ്റഡി (MGRS) ഏറ്റെടുത്തു.
