en,as
How to revive your health if you are Moderately Wasted (MAM),WHO মাল্টিচেন্টাৰ গ্ৰ’থ ৰেফাৰেঞ্চ ষ্টাডীয়ে (MGRS) সমগ্ৰ বিশ্বৰ নৱজাতক আৰু কণমানি শিশুসকলৰ বৃদ্ধি আৰু বিকাশ মূলয়ায়ন কৰাৰ বাবে নতুন বৃদ্ধিৰ বক্ৰ ৰেখা উৎপন্ন কৰিবলৈ 1997 আৰু 2003 ৰ মাজত কৰ্মভাৰ লৈছিল৷.
How to revive your health if you are Underweight,"MGRS-য়ে ব্যাপক ৰূপত বিভিন্ন নৃগোষ্ঠীগত পটভূমি আৰু সাংস্কৃতিক পৃষ্ঠভূমিৰ (ব্ৰাজিল, ঘানা, ভাৰত, নৰৱে, ওমন আৰু USA) পৰা প্ৰায় 8500 গৰাকী শিশুৰ পৰা প্ৰাথমিক বিকাশত তথ্য আৰু সম্পৰ্কিত তথ্য সংগ্ৰহ কৰিছিল৷."
×,নতুন বিকাশৰ লেখ চিত্ৰই এটা একক আন্তৰ্জাতিক মান আগবঢ়াব বুলি আশা কৰা হৈছে যি সকলো শিশুৰ বাবে জন্মৰ পৰা পাঁচ বছৰ বয়সলৈ মনস্তাত্ত্বিক বিকাশ আৰু বৃদ্ধি আৰু বিকাশৰ বাবে মান নিৰূপণমূলক মডেল হিচাপে দুগ্ধপান কৰোৱা কেচুৱাসকলক স্থাপন কৰিবলৈ আটাইতকৈ উত্তম বিৱৰণক উপস্থাপন কৰে৷.
×,আপোনাৰ স্বাস্থ্য কেনেদৰে পুনৰুজ্জীৱিত কৰিব?
×,যদি আপুনি গুৰুতৰভাৱে পুষ্টিহীনতাত (SAM) ভুগিছে আপোনাৰ স্বাস্থ্য কেনেদৰে পুনৰুদ্ধাৰ কৰিব
Support,যদি আপুনি মধ্যমীয়াভাৱে পুষ্টিহীনতাত (MAM) ভুগিছে আপোনাৰ স্বাস্থ্য কেনেদৰে পুনৰুদ্ধাৰ কৰিব
 14408,যদি আপুনি কম ওজনৰ আপোনাৰ স্বাস্থ্য কেনেদৰে পুনৰুদ্ধাৰ কৰিব
 support-poshantrackr@gov.in,×
Download Mobile App,×
Powered By,×
About,পৃষ্ঠপোষকতা
Resources, 14408
Dashboard, support-poshantrackr@gov.in
Helpdesk,মোবাইল এপ ডাউনলোড কৰক
FAQ,Powered By
Poshan Calculator,ইয়াৰ বিষয়ে
Terms of Service,সমল
Privacy Policy,ডেশ্ববৰ্ড
Careers,হেল্পডেস্ক
Copyright@2023  Poshan Tracker. All rights reserved,সঘনাই সোধা প্ৰশ্ন সমূহ
 You need to enable JavaScript to run this app.,পোষণ কেলকুলেটৰ
Poshan Helpline:,Terms of Service
14408,Privacy Policy
JanAndolan,কেৰিয়াৰ
ABHA (Health ID),Copyright@2023  Poshan Tracker. All rights reserved
Language, You need to enable JavaScript to run this app.
English,Poshan Helpline:
हिंदी,14408
ગુજરાતી,JanAndolan
મરાઠી,ABHA (হেল্থ আইডি)
ಕನ್ನಡ,ল্যাঙ্গুয়েজে
മലയാളം,English
தமிழ்,हिंदी
తెలుగు,ગુજરાતી
বাংলা,મરાઠી
অসমীয়া,ಕನ್ನಡ
ਪੰਜਾਬੀ,മലയാളം
ଓଡ଼ିଆ,தமிழ்
नेपाली,తెలుగు
डोगरी,বাংলা
कोंकणी,অসমীয়া
सिंधी,ਪੰਜਾਬੀ
बोडो,ଓଡ଼ିଆ
मैथिली,नेपाली
মণিপুরী,डोगरी
संथाली,कोंकणी
اردو,सिंधी
کٲشُر,बोडो
About,मैथिली
Resources,মণিপুরী
Resources,संथाली
Vaccination Schedule,اردو
Dashboard,کٲشُر
Dashboard,ইয়াৰ বিষয়ে
Mission Utkarsh,সমল
Helpdesk,সমল
Beneficiary Redressal,টিকাকৰণৰ সূচী
State Helpdesk,ডেশ্ববৰ্ড
FAQ,ডেশ্ববৰ্ড
Poshan Calculator,Mission Utkarsh
Login,হেল্পডেস্ক
Terms of Service,হিতাধিকাৰীৰ প্ৰতিবিধান
Welcome! The following are the Terms of Service (“Terms”) that govern your use of the Poshan Tracker Platform hosted at ,ৰাজ্যিক হেল্পডেস্ক
https://poshantracker.in,সঘনাই সোধা প্ৰশ্ন সমূহ
", and all associated sites linked to it, its subsidiaries, and affiliates (collectively, the “Site”).",পোষণ কেলকুলেটৰ
I. OWNERSHIP,লগইন কৰক
"The Site and all data, text, designs, pages, print screens, images, artwork, photographs, audio and video clips, HTML code, source code, or software that reside or are viewable or otherwise discoverable on the Site, and all participants booked from the Site, (collectively, termed as the “Content”) are owned by Ministry of Women and Child Development and their authorised service providers.",Terms of Service
II. CONSENT,স্বাগতম! তলত দিয়া সমূহ হৈছে সেৱাৰ চৰ্তাৱলী (“চৰ্তাৱলী“) যি 
"Our Privacy Policy, Open API Policy and any other policies, rules or guidelines that may be applicable to particular offers or features on the Site are incorporated in these Terms. By visiting or using the Site, you expressly agree to these Terms, as updated from time to time.",https://poshantracker.in
"If you do not agree with any part of these terms, do not use the site. You may not use the Site in any manner and may not accept the Terms if you are not of legal age to form a binding contract.",", আৰু ইয়াৰে লিংক হৈ থকা সকলো সম্পৰ্কিত চাইট, ইয়াৰ পৰিপূৰক, আৰু শাখাত (একেলগে, “চাইট“) হোষ্ট কৰা পোষণ ট্ৰেকাৰ প্লেটফৰ্মৰ আপোনাৰ ব্যৱহাৰ নিয়ন্ত্ৰণ কৰে৷"
III. NOTICE REGARDING FUTURE CHANGES TO TERMS:,I. মালিকীস্বত্ব
"We reserve the unconditional right to change, modify, add, or remove any part of these Terms at any time, without specifically notifying you of such changes. Any changes or updates will be effective immediately. You take the responsibility to check these Terms of Use periodically for changes. Your continued use of the platform post such revision shall constitute acceptance of the modified Terms.","চাইটটো আৰু সকলোবোৰ ডাটা, টেক্সট, ডিজাইন, পেজ, প্ৰিণ্ট স্ক্ৰীণ, ইমেজ, আৰ্টৱৰ্ক, ফটোগ্ৰাফ, অডিঅ’ আৰু ভিডিঅ’ ক্লিপ, HTML কোড, চোৰ্চ কোড, বা চফ্টৱেৰ যি চাইটটোত থাকিব পৰা বা চাব পৰা বা অন্যথা আৱিস্কাৰযোগ্য হয়, আৰু সকলো অংশগ্ৰহণকাৰী চাইটটোৰ পৰা বুক হয়, (সামগ্ৰিকভাৱে, “কন্টেন্ট“ হিচাপে নাম দিয়া হয়) মহিলা আৰু শিশু বিকাশ মন্ত্ৰালয় আৰু তেওঁলোকৰ অনুমোদিত সৱা প্ৰদানকাৰীসকলৰ দ্বাৰা স্বত্বাধীন হয়৷"
IV. ACCOUNT REGISTRATION,II. অনুমোদন
"You may browse the Site without registering for an account. You will be required to register for an account with your mobile number, if you intent to use certain features or services offered by the Site.","আমাৰ গোপনীয়তাৰ নীতি, অপেন API নীতি আৰু আন যিকোনো নীতি, নিয়ম আৰু নিৰ্দেশনা সমূহ যি চাইটটোত নিৰ্দিষ্ট অফাৰ আৰু বিশেষত্ব সমূহত প্ৰযোজ্য হয় সি এই চৰ্তাৱলী সমূহত সন্নিৱিষ্ট হয়৷ চাইটটোত ভিজিট কৰি বা ব্যৱহাৰ কৰি, আপুনি সময়ে সময়ে হোৱা আপডেট অনুসৰি, আপুনি এই চৰ্তাৱলী সমূহ নিশ্চিতভাৱে সন্মত হৈছে৷"
"By acceptance of these Terms, you expressly agree to authorize us to use your identity information (including Aadhaar details) and also of all the other members registered in your account.","যদি আপুনি এই চৰ্তাৱলী সমূহৰ কোনো অংশৰ সৈতে সন্মত নহয়, এই চাইটটো ব্যৱহাৰ নকৰিব৷ যদি আপু এটা বাউণ্ডিং কন্ট্ৰেক্ট গঠন কৰিবলৈ আইনসন্মত বয়সৰ নহয় আপুনি হয়তো চাইটটো যিকোনো ধৰণে ব্যৱহাৰ নকৰিব পাৰে বা হয়তো চৰ্তাৱলী সমূহ মানি নলব পাৰে৷"
You are solely responsible for maintaining the confidentiality of your personal information and registration and all activities that might result from you failing from keeping this information secure. Your registration or mobile number shall be kept confidential,III. চৰ্তাৱলী সমূহৰ ভৱিষ্যত সাল-সলনিৰ সন্দৰ্ভত জাননী:
You undertake that:,"আমি আপোনাক বিশেষভাৱে জাননী প্ৰদান নকৰাকৈ যিকোনো সময়ত এই চৰ্তাৱলী সমূহৰ যিকোনো অংশ সলনি, মডিফাই, যোগ, বা আঁতৰ কৰাৰ চৰ্তবিহীন অধিকাৰ আৰক্ষণ কৰো৷ যিকোনো সাল-সলনি বা আপডেট তৎক্ষণাৎ কাৰ্যকৰী হ’ব৷ আপুনি এই ব্যৱহাৰৰ চৰ্তাৱলী সমূহৰ সাল-সলনি সময়ে সময়ে পৰীক্ষা কৰিবলৈ দায়িত্ব গ্ৰহণ কৰিছে৷ এনে সংশোধনৰ পিছত আপুনি অব্যাহত ৰখা প্লেটফৰ্মৰ ব্যৱহাৰ সেই সংশোধিত চৰ্তাৱলীৰ স্বীকৃতিক নিযুক্ত কৰিব৷"
You have obtained consent from the concerned individuals for creating their records through your account.,IV. একাউন্টৰ পঞ্জীয়ন
