en,mni
Gender ,"সাইৎ অমসুং সাইৎ অসিদা য়াওরিবা নত্ত্রগা য়েংবা য়াবা নত্ত্রগা অতোপ্পা দিস্কোভরেবল ওইবা দেতা, তেক্স, পেজ, প্রিন্ত স্ক্রীন, ইমেজ, আর্তৱার্ক, ফোতোগ্রাফ, ওদিও অমসুং ভিদিও ক্লিপ, ঐচ.তি.এম.এল. কোদ, সোর্স কোদ, নত্ত্রগা সোফৱেয়র পুম্নমক অমসুং সাইৎ অসিগী বুক তৌবা পার্তিসিপেন্ত পুম্নমক অসি (অপুনবা ওইনা “কন্তেন্ত” হায়না খঙনবা) নুপী অমসুং অঙাংগী চাউখৎ-থৌরাং মন্ত্রালয় অমসুং মখোয়গী ওথোরাইজ সর্ভিস প্রোভাইদরশিংনা মপু ওই।"
*,II. কনসেন্ত
Boy,"সাইৎ অসিদা য়াওরিবা অকক্নবা ওফর নত্ত্রগা ফীচরশিংদা চৎনবা য়াবা ঐখোয়গী প্রাইবেসী পোলিসী, ওপন এ.পি.আই. পোলিসী অমসুং অতোপ্পা মখলগী পোলিসীশিং, রুল নত্ত্রগা গাইদলাইনশিং অসি তর্মশিং অসিদা ইনকোর্পোরেৎ তৌই। সাইৎ অসিদা চংবা নত্ত্রগা মসি শীজিন্নবনা অদোম্না মতম মতমগী ওইনা অপদেৎ তৌরিবা তর্মশিং অসিদা য়ারে হায়না ফোঙদোক্লি।"
Girl,করিগুম্বা অদোম্না তর্মশিং অসিগী শরুক অমা হেক্তা য়ানীংদবা য়াওরবদি সাইৎ অসি শীজিন্নবীগনু। বিন্দিং কন্ত্রেক্ত অমা পীনবগী আইন্না য়াবা চহি য়ৌদবা তারবদি অদোম্না হীরম অমত্তদা সাইৎ অসি শীজিন্নগনি অমসুং তর্মশিং অসিদা অয়াবা পীগনু।
Date of Birth ,III. তর্মশিংদা তুংদা অহোংবশিং লাকপগী মতাংদা খঙহঞ্জবা:
*,"ঐখোয়না অদোমদা অসিগুম্বা অহোংবশিং অসিগী মতাংদা অখন্ননা খঙহনবা তৌদনা মতম অমা হেক্তদা তর্মশিং অসিগী শরুক অমা হেক্তা হোংদোকপা, শেমদোকপা, হাপচিনবা নত্ত্রগা লৌথোকপগী ফীভমগী মখা পোন্দনা হক রিজর্ব তৌদুনা থম্মি। অহোংবা নত্ত্রগা অপদেৎ অমা হেক্তা খুদক্তগী চৎনবা হৌগনি। অহোংবশিং অসিগীদমক তাঙ্কক নাইনা শীজিন্নবগী তর্মশিং অসি য়েংজবগী থৌদাং অদোম্না লৌগনি। রিভিজন তৌরবা মতুংদা অদোম্না প্লেৎফোর্ম অসি মখা তানা শীজিন্নবনা শেমদোক্লবা তর্মশিং অসি অদোম্না য়ারে হায়না লৌগনি।"
Height (CM) ,IV. একাউন্ত রেজিস্ত্রেসন
*,অদোম্না একাউন্ত অমা হাংনবা রেজিস্তর তৌদ্রবসু সাইৎ অসি ব্রাউস তৌবা য়াগনি। সাইৎ অসিনা পীবা অকক্নবা ফীচর নত্ত্রগা সর্ভিসশিং অদোম্না শীজিন্নবা পাম্লবদি অদোমগী মোবাইল নম্বর অদু শীজিন্নদুনা একাউন্ত অমগীদমক রেজিস্তর তৌবা মথৌ তাগনি।
*Height should be between 38 to 150,তর্মশিং অসিদা অয়াবা পীবনা অদোমগী শকতাক্লিবা ই-পাউ (আধারগী অকুপ্পা ৱারোল য়াওনা) অমসুং অদোমগী একাউন্তদা রেজিস্তর তৌরিবা অতোপ্পা মেম্বর পুম্নমক্কী ই-পাউ অদু ঐখোয়না শীজিন্ননবা ওথোরাইজ তৌবদা ইশানা য়ারে ফোঙদোক্লি।
CM,অদোমগী লনাইগী অকুপ্পা মরোল অমসুং রেজিস্ত্রেনগী অরোন-অথুপ ঙাক্নবা থম্বা অমসুং ই-পাউ অসি সেক্যুর ওইনা থম্বা ঙমদবনা মরম ওইদুনা থোক্লকপা থবক-থৌরম পুম্নমক্কী দাইদা অদোম্না পুজগনি। অদোমগী রেজিস্ত্রেসন নত্ত্রগা মোবাইল নম্বর অসি কনফিদেন্সিএল ওইনা থমগনি
Weight (KG) ,অদোম্না য়াজরি মদুদি:
*,অদোমগী একাউন্তগী খুত্থাংদা মখোয়গী রেকোর্দশিং শেম্নবা মরী লৈনবা মীওইশিংদগী অদোম্না অয়াবা লৌরে।
*Weight should be between 0.90 to 58,মীওই অমা শাশিন্ননবগী ৱাখল্লোনগা লোয়ননা অদোমগী একাউন্ত নত্ত্রগা মোবাইল মনম্বরদা অতোপ্পা মীওই অমগী মমিং য়াওরোইদবনি।
KG,মখোয়গী অয়াবা য়াওদনা অতোপ্পা য়ুজরগী একাউন্ত অদোম্না শীজিন্নরোইদবনি।
Show Results,"অদোমগী একাউন্ত অনওথোরাইজ ওইনা শীজিন্নবা নত্ত্রগা অতোপ্পা একাউন্তগা মরী লৈনবা সেক্যুরিতী ব্রীচ তৌবা অদোম্না করিগুম্বা থেংনবা তারবদি অইবা ওইনা ঐখোয়দা খুদক্তা খঙহল্লকউ। করিগুম্বা অদোমগী একাউন্তনা কনাগুম্বা অমগী হকশিং ঙাক্তবা, নত্ত্রগা ঐখোয়গী পোলিসীশিং থুগাইবগী ৱাকৎ ঐখোয়দা লাকপা তারবদি ঐখোয়না অদোমগী একাউন্ত কেন্সেল নত্ত্রগা ব্লোক তৌবা য়াই।"
What is Poshan Calculator,"অদোম্না সাইৎ অসিদা পার্তিসিপেন্তশিং রেজিস্তর তৌনবা তোঙান-তোঙানবা ইন্তর্নেৎ প্রোতোকল এদ্রেসশিং নত্ত্রগা মোবাইল নম্বর, নত্ত্রগা অতোপ্পা পাম্বৈ শীজিন্নদুনা অদোমগী শক্তাক লোৎশিন্নবা হোৎনরোইদবনি।"
Poshan Calculator helps to identify various health conditions of the child as per World Health Organization (WHO) standards.,V. এক্সেস তৌনবা অয়াবশিং
