en,ur
"The authorized organizations will comply with all applicable laws, regulation, policies and third-party rights (including and without limitation, any laws regarding the import or export of data or software, privacy, and local laws) established by Government of India. These organizations will not use the APIs/ No-code webpage integration to encourage or promote illegal activity or violation of third-party rights including these Terms with Poshan Tracker.",ہم ان شرائط کے کسی بھی حصے کو کسی بھی وقت تبدیل کرنے، ترمیم کرنے، شامل کرنے یا ہٹانے کا غیر مشروط حق محفوظ رکھتے ہیں، آپ کو ایسی تبدیلیوں کے بارے میں خاص طور پر مطلع کیے بغیر۔ کوئی بھی تبدیلی یا اپ ڈیٹ فوری طور پر مؤثر ہو جائے گا۔ آپ تبدیلیوں کے لیے وقتاً فوقتاً استعمال کی ان شرائط کو چیک کرنے کی ذمہ داری لیتے ہیں۔ اس طرح کی نظرثانی کے بعد پلیٹ فارم کا آپ کا مسلسل استعمال ترمیم شدہ شرائط کی قبولیت پر مشتمل ہوگا۔
XIV. CORRECTNESS OF DATA PROVIDED BY THIRD PARTY SYSTEMS,IV. اندراجکھاتہ
"The ASPs collecting data from Poshan Tracker and displaying to users shall be solely responsible for the correctness of such data and any liability arising out of any data so provided, shall completely rest with such third party. Any liabilities civil or criminal, arising out of any incorrect data, shall solely lie with the concerned ASP.",آپ اکاؤنٹ کے لیے رجسٹر کیے بغیر سائٹ کو براؤز کر سکتے ہیں۔ اگر آپ سائٹ کی طرف سے پیش کردہ کچھ خصوصیات یا خدمات کو استعمال کرنے کا ارادہ رکھتے ہیں تو آپ کو اپنے موبائل نمبر کے ساتھ اکاؤنٹ کے لیے رجسٹر کرنے کی ضرورت ہوگی۔
XV. INDEMNITY AND LIMITATION OF LIABILITY,ان شرائط کو قبول کر کے، آپ واضح طور پر ہمیں اپنی شناخت کی معلومات (بشمول آدھار کی تفصیلات) اور آپ کے اکاؤنٹ میں رجسٹرڈ دیگر تمام ممبران کے استعمال کی اجازت دینے سے اتفاق کرتے ہیں۔
"You agree to defend, indemnify and hold harmless Poshan Tracker and its affiliates, its officers, directors, employees and agents, from and against any and all claims, damages, obligations, losses, liabilities, costs or debt, and expenses including but not limited to attorneys fees relating to any allegation or third-party legal proceeding to the extent arising from:",آپ اپنی ذاتی معلومات اور رجسٹریشن اور ان تمام سرگرمیوں کی رازداری کو برقرار رکھنے کے مکمل طور پر ذمہ دار ہیں جن کے نتیجے میں آپ اس معلومات کو محفوظ رکھنے میں ناکام ہو سکتے ہیں۔ آپ کا رجسٹریشن یا موبائل نمبر خفیہ رکھا جائے گا۔
Your use of and access to the Site and Service;,آپ نے یہ فرض کیا:
Your violation of any term of this Agreement;,آپ نے اپنے اکاؤنٹ کے ذریعے اپنے ریکارڈ بنانے کے لیے متعلقہ افراد سے رضامندی حاصل کی ہے۔
"Your violation of any third party right, including without limitation, any copyright, property, or privacy right; or",آپ کے اکاؤنٹ یا موبائل نمبر میں کسی دوسرے شخص کا نام شامل نہیں ہونا چاہیے جو اس شخص کی نقالی کرنے کے ارادے سے ہو۔
Any claim that your User Content caused damage to a third party. This defense and indemnification obligation will survive this Agreement and your use of the Service and Website/App.,آپ کسی دوسرے صارف کا اکاؤنٹ ان کی اجازت کے بغیر استعمال نہیں کریں گے۔
XVI. JURISDICTION,آپ ہمیں فوری طور پر تحریری طور پر مطلع کریں گے، اگر آپ کو اپنے اکاؤنٹ کا کوئی غیر مجاز استعمال یا اکاؤنٹ سے متعلق سیکیورٹی کی خلاف ورزی کا پتہ چلتا ہے۔ اگر ہمیں شکایت موصول ہوتی ہے کہ آپ کا اکاؤنٹ کسی اور کے حقوق کی خلاف ورزی کرتا ہے، یا ہماری پالیسیوں کی خلاف ورزی کرتا ہے تو ہم آپ کے اکاؤنٹ کو منسوخ یا بلاک کر سکتے ہیں۔
Your use of the Site and any dispute arising out of such use of the Site is subject to the laws of India and place of jurisdiction shall be New Delhi.,آپ متعدد انٹرنیٹ پروٹوکول ایڈریس یا موبائل نمبر، یا کسی اور ذریعہ سے، سائٹ پر شرکاء کو رجسٹر کرنے کے لیے اپنی شناخت چھپانے کی کوشش نہیں کریں گے۔
Support,V. رسائی کی اجازت
 14408,آپ صرف دستاویز میں بیان کردہ ذرائع سے سائٹ تک رسائی (یا رسائی کی کوشش) کریں گے اور اس معاہدے کی شرائط و ضوابط کی تعمیل کریں گے۔
 support-poshantrackr@gov.in,آپ تمام مرکزی اور ریاستی قوانین، آپ پر لاگو ہونے والے قواعد و ضوابط اور سائٹ کے آپ کے استعمال اور کسی بھی فریق ثالث کے حقوق کو متاثر کرنے کی تعمیل کریں گے۔
Download Mobile App,VI. رسائی کی پابندیاں
Powered By,آپ اپنے طور پر یا کسی دوسرے شخص کے ذریعے نہیں کریں گے:
About,کسی دوسرے شخص کو سائٹ استعمال کرنے سے روکیں یا روکیں۔
Resources,کسی بھی غیر قانونی مقصد کے لیے سائٹ کا استعمال کریں۔
Dashboard,ظاہر کریں یا اس بات کا اشارہ کریں کہ آپ جو بھی بیان دیتے ہیں اس کی توثیق ہماری پیشگی تحریری اجازت کے بغیر کی جاتی ہے۔
Helpdesk,کسی بھی شخص یا ہستی کی نقالی بنائیں، چاہے وہ حقیقی ہو یا فرضی
FAQ,سپیمنگ یا سیلاب میں مشغول ہوں۔
Poshan Calculator,سائٹ کے صارفین کے بارے میں معلومات حاصل کریں یا جمع کریں۔
Terms of Service,متعدد موبائل نمبر استعمال کرکے اپنے یا کسی دوسرے فرد کے لیے متعدد اکاؤنٹس کھولیں۔
Privacy Policy,کوئی بھی سافٹ ویئر یا دیگر مواد جمع کروائیں جس میں وائرس، کیڑے، ٹروجن ہارس، نقائص، ڈیٹ بم، ٹائم بم یا تباہ کن نوعیت کی دیگر اشیاء شامل ہوں۔
Careers,شناخت کنندگان میں ہیرا پھیری کریں، بشمول جعلسازی ہیڈرز، کسی بھی پوسٹنگ کی اصلیت کو چھپانے کے لیے جو آپ جمع کراتے ہیں
Copyright@2023  Poshan Tracker. All rights reserved,سائٹ کے ہوم پیج پر تفویض کردہ URL کے علاوہ سائٹ کے کسی بھی حصے سے لنک کریں۔
 You need to enable JavaScript to run this app.,سائٹ کے کسی بھی حصے کو فریم یا عکس بنائیں
Poshan Helpline:,ترمیم، موافقت، ذیلی لائسنس، ترجمہ، فروخت، ریورس انجینئر، سائٹ کے کسی بھی حصے کو ڈی کمپائل یا جدا کرنا، یا بصورت دیگر مواد کے کسی بھی حصے کے ماخذ کوڈ یا بنیادی خیالات یا الگورتھم اخذ کرنے کی کوشش کریں۔
14408,سائٹ پر موجود کسی بھی کاپی رائٹ، ٹریڈ مارک یا دیگر ملکیتی حقوق کے نوٹس کو ہٹا دیں۔
JanAndolan,کسی بھی کمپیوٹر پروگرام، بوٹ، روبوٹ، اسپائیڈر، آف لائن ریڈر، سائٹ کی تلاش/ بازیافت ایپلی کیشن یا دیگر دستی یا خودکار ڈیوائس، ٹول، یا عمل کو بازیافت کرنے، انڈیکس، ڈیٹا مائن، یا کسی بھی طرح سے حفاظتی ڈھانچے کو دوبارہ پیدا کرنے یا اس کو روکنے کے لیے استعمال کریں، نیویگیشنل مواد یا سائٹ کی ساخت، یا پیشکش، بشمول سائٹ پر دکھائے جانے والے کسی کیپچا کے حوالے سے۔
ABHA (Health ID),کسی بھی خودکار سافٹ ویئر یا کمپیوٹر سسٹم کو تلاش کرنے یا اپوائنٹمنٹ بُک کرنے کے لیے استعمال کریں بشمول آپ کے کمپیوٹر سے معلومات دوسرے کمپیوٹر پر بھیجنا جہاں ایسا سافٹ ویئر یا سسٹم فعال ہو۔
Language,کوئی بھی ایسی کارروائی کریں جو ہمارے بنیادی ڈھانچے پر (ہماری صوابدید پر) غیر معقول یا غیر متناسب طور پر بڑا بوجھ ڈالے یا مسلط کرے۔
English,سائٹ کا استعمال کریں یا دوبارہ تیار کریں، ترمیم کریں، ڈسپلے کریں، عوامی طور پر انجام دیں، تقسیم کریں یا سائٹ یا مواد کے مشتق کام تخلیق کریں۔
हिंदी,مواد کی کوشش میں، یا اس کے ساتھ مل کر، کسی بھی تکنیکی اقدام کو روکنے کے لیے ڈیزائن کیا گیا ہے جو سائٹ اور/یا مواد تک رسائی، یا حقوق کو مؤثر طریقے سے کنٹرول کرتا ہے، بشمول، بغیر کسی حد کے، کسی بھی مقصد کے لیے دستی ڈی کوڈ، ڈیکرپٹ، ترمیم، یا ریورس انجینئر سرٹیفکیٹ یا بنیادی الگورتھم یا خودکار آلہ یا عمل
