en,mai
"You shall immediately notify us in writing, if you discover any unauthorized use of your account or other account-related security breach. If we receive a complaint that your account violates someone else's rights, or violates our policies we may cancel or block your account.","यदि अहाँ अपन खाता वा अन खातासँ संबंधित सुरक्षा उल्लंघनक कोनो सेहो अनधिकृत उपयोगक भेटैत अछि, त' अहाँ तत्काल रूपसँ हमरा लिखित रूपमे सूचित करब। यदि हमरा कोनो शिकायत भेटैत छी जे अहाँक खाता कोइयो दोसरक लग अधिकारक उल्लंघन करइत अछि, वा हमर नीतिसभक उल्लंघन करइत अछि, त' हम अहाँक खाताकेँ रद्द वा ब्लॉक कर सकैत छी।"
"You shall not attempt to conceal your identity by using multiple Internet Protocol addresses or mobile no, or by any other means, to register participants on the Site","अहाँ साइट पर प्रतिभागीसभकेँ पंजीकृत करबाक लेल ढेर इंटरनेट प्रोटोकॉल पता वा मोबाइल नंबर, वा कोनो अन माध्यमसँ, वा कोनो अन माध्यमसँ अपन पहिचानकेँ नुकायक प्रयास नहि करब"
V. ACCESS PERMISSIONS,V. एक्सेस अनुमतिसभ
You will only access (or attempt to access) the Site by the means described in the Documentation and will comply with the terms and conditions of this Agreement.,अहाँ केवल दस्तावेज़ीकरणमे वर्णन माध्यमसँ साइट धरि पहुंच (वा एक्सेस करबाक प्रयास) करब आ ई अनुबंधक नियमसभ आ शर्तसभक पालन करब।
"You will comply with all Central and State laws, rules and regulations applicable to you and your use of the Site and affecting any third-party rights.","अहाँ समूचा केंद्रीय आ राज्य कानूनसभ, नियमसभ आ विनियमक पालन करब जे अहाँक आ साइटक अहाँक उपयोग पर लागू होइत अछि आ कोइयो तेसर पक्षक अधिकारसभकेँ प्रभावित करइत अछि।"
VI. ACCESS RESTRICTIONS,VI. उपयोग प्रतिबंध
"You shall not, either on your own or through any other person:",अहाँ वा त' अपन दम पर वा कोनो अन लोकक माध्यमे नहि करब:
Restrict or inhibit any other person from using the Site,साइटक उपयोग करबासँ कोनो अन लोककेँ प्रतिबंधित वा रोकनाइ
Use the Site for any unlawful purpose,कोइयो गैरकानूनी उद्देश्यक लेल साइटक उपयोग करनाइ
"Express or imply that any statements you make are endorsed by us, without our prior written consent","व्यक्त करू वा इंगित करू जे अहाँक द्वारा कएल गेल कोइयो बयानकेँ हमर पूर्व लिखित सहमतिक बगैर, हमर द्वारा समर्थित कएल जाइत अछि"
